voter,position,title,author
Pratinav Anil,2,A Dance to the Music of Time,Anthony Powell
Pratinav Anil,3,A Severed Head,Iris Murdoch
Pratinav Anil,4,Gravity's Rainbow,Thomas Pynchon
Pratinav Anil,5,The Portrait of a Lady,Henry James
Pratinav Anil,6,The Magic Mountain,Thomas Mann
Pratinav Anil,7,The Unbearable Lightness of Being,Milan Kundera
Pratinav Anil,8,Oblomov,Ivan Aleksandrovich Goncharov
Pratinav Anil,9,Boredom,Alberto Moravia
Pratinav Anil,10,Aunt Julia and the Script-Writer,Mario Vargas Llosa
Yan Lianke,1,Don Quixote,Miguel de Cervantes
Yan Lianke,2,Strange Tales From a Chinese Studio,Pu Songling
Yan Lianke,3,War and Peace,Leo Tolstoy
Yan Lianke,4,The Brothers Karamazov,Fyodor Dostoyevsky
Yan Lianke,5,Madame Bovary,Gustave Flaubert
Yan Lianke,6,Ulysses,James Joyce
Yan Lianke,7,Pedro Páramo,Juan Rulfo
Yan Lianke,8,The Castle,Franz Kafka
Yan Lianke,9,In Search of Lost Time,Marcel Proust
Yan Lianke,10,Pride and Prejudice,Jane Austen
Chloe Aridjis,1,Don Quixote,Miguel de Cervantes
Chloe Aridjis,2,In Search of Lost Time,Marcel Proust
Chloe Aridjis,3,The Magic Mountain,Thomas Mann
Chloe Aridjis,4,The Metamorphosis,Franz Kafka
Chloe Aridjis,5,Heart of Darkness,Joseph Conrad
Chloe Aridjis,6,Frankenstein,Mary Shelley
Chloe Aridjis,7,Moby-Dick,Herman Melville
Chloe Aridjis,8,The Brothers Karamazov,Fyodor Dostoyevsky
Chloe Aridjis,9,Middlemarch,George Eliot
Chloe Aridjis,10,A Portrait of the Artist as a Young Man,James Joyce
Nadifa Mohamed,1,Beloved,Toni Morrison
Nadifa Mohamed,2,Eugene Onegin,Alexander Pushkin
Nadifa Mohamed,3,A Fine Balance,Rohinton Mistry
Nadifa Mohamed,4,The Translator,Leila Aboulela
Nadifa Mohamed,5,Marabou Stork Nightmares,Irvine Welsh
Nadifa Mohamed,6,Wide Sargasso Sea,Jean Rhys
Nadifa Mohamed,7,By the Sea,Abdulrazak Gurnah
Nadifa Mohamed,8,Home to Harlem,Claude McKay
Nadifa Mohamed,9,Telephone,Percival L. Everett
Nadifa Mohamed,10,The God of Small Things,Arundhati Roy
Sarah Churchwell,1,The Great Gatsby,F Scott Fitzgerald
Sarah Churchwell,2,The Wings of a Dove,Henry James
Sarah Churchwell,3,Jane Eyre,Charlotte Brontë
Sarah Churchwell,4,Pride and Prejudice,Jane Austen
Sarah Churchwell,5,The Portrait of a Lady,Henry James
Sarah Churchwell,6,Wuthering Heights,Emily Brontë
Sarah Churchwell,7,Emma,Jane Austen
Sarah Churchwell,8,David Copperfield,Charles Dickens
