voter,position,title,author
Matt Haig,4,The Power and the Glory,Graham Greene
Matt Haig,5,Jane Eyre,Charlotte Brontë
Matt Haig,6,Things We Lost in the Fire,Mariana Enriquez
Matt Haig,7,Don Quixote,Miguel de Cervantes
Matt Haig,8,The Hitch Hiker's Guide to the Galaxy,Douglas Adams
Matt Haig,9,Siddhartha,Hermann Hesse
Matt Haig,10,The Count of Monte Cristo,Alexandre Dumas
Rebecca Liu,1,Anna Karenina,Leo Tolstoy
Rebecca Liu,2,Beloved,Toni Morrison
Rebecca Liu,3,Madame Bovary,Gustave Flaubert
Rebecca Liu,4,The Golden Notebook,Doris Lessing
Rebecca Liu,5,Notes From the Underground,Fyodor Dostoevsky
Rebecca Liu,6,The Lonely Londoners,Samuel Selvon
Rebecca Liu,7,Infinite Jest,David Foster Wallace
Rebecca Liu,8,Golden Age,Wang Xiaobo
Rebecca Liu,9,The Dispossessed,Ursula K. Le Guin
Rebecca Liu,10,The Stranger,Albert Camus
Sinéad Gleeson,1,Ulysses,James Joyce
Sinéad Gleeson,2,To the Lighthouse,Virginia Woolf
Sinéad Gleeson,3,Their Eyes Were Watching God,Zora Neale Hurston
Sinéad Gleeson,4,"Lolly Willowes, Or, the Loving Huntsman",Sylvia Townsend Warner
Sinéad Gleeson,5,Midnight's Children,Salman Rushdie
Sinéad Gleeson,6,The Prime of Miss Jean Brodie,Muriel Spark
Sinéad Gleeson,7,Who Will Run the Frog Hospital?,Lorrie Moore
Sinéad Gleeson,8,The Lover,Marguerite Duras
Sinéad Gleeson,9,Amongst Women,John McGahern
Sinéad Gleeson,10,Hotel Du Lac,Anita Brookner
Ahdaf Soueif,1,Middlemarch,George Eliot
Ahdaf Soueif,2,Anna Karenina,Leo Tolstoy
Ahdaf Soueif,3,The Leopard,Giuseppe Tomasi di Lampedusa
Ahdaf Soueif,4,A Sentimental Journey,Laurence Sterne
Ahdaf Soueif,5,Sudden Death,Álvaro Enrigue
Ahdaf Soueif,6,Great Expectations,Charles Dickens
Ahdaf Soueif,7,Pride and Prejudice,Jane Austen
Ahdaf Soueif,8,The Catcher in the Rye,J. D. Salinger
Ahdaf Soueif,9,A Farewell to Arms,Ernest Hemingway
Ahdaf Soueif,10,One Hundred Years of Solitude,Gabriel García Márquez
Richard Osman,1,A Month in the Country,J. L. Carr
Richard Osman,2,The Talented Mr Ripley,Patricia Highsmith
Richard Osman,3,Lonesome Dove,Larry McMurtry
Richard Osman,4,Towards the End of the Morning,Michael Frayn
Richard Osman,5,Life After Life,Kate Atkinson
Richard Osman,6,The Goldfinch,Donna Tartt
Richard Osman,7,One Hundred Years of Solitude,Gabriel García Márquez
Richard Osman,8,Middlemarch,George Eliot
Richard Osman,9,Giovanni's Room,James Baldwin
Richard Osman,10,A Far Cry From Kensington,Muriel Spark
Valeria Luiselli,1,The Road,Cormac McCarthy
Valeria Luiselli,2,Pedro Páramo,Juan Rulfo
Valeria Luiselli,3,One Hundred Years of Solitude,Gabriel García Márquez
Valeria Luiselli,4,Disgrace,JM Coetzee
Valeria Luiselli,5,The Tartar Steppe,Dino Buzzati
Valeria Luiselli,6,Confessions of Zeno,Italo Svevo
Valeria Luiselli,7,Cartucho,Nellie Campobello
Valeria Luiselli,8,Nineteen Eighty-Four,George Orwell
Valeria Luiselli,9,Ulysses,James Joyce
Valeria Luiselli,10,The Empty Book,Josefina Vicens
Guy Gunaratne,1,Ulysses,James Joyce
Guy Gunaratne,2,The Brothers Karamazov,Fyodor Dostoyevsky
Guy Gunaratne,3,The Waves,Virginia Woolf
Guy Gunaratne,4,Murphy,Samuel Beckett
Guy Gunaratne,5,Song of Solomon,Toni Morrison
Guy Gunaratne,6,As I Lay Dying,William Faulkner
Guy Gunaratne,7,The Rings of Saturn,WG Sebald
Guy Gunaratne,8,The Adventures of Augie March,Saul Bellow
Guy Gunaratne,9,Giovanni's Room,James Baldwin
Guy Gunaratne,10,The Years,Annie Ernaux
Laura Wilson,1,Clarissa Harlowe,Samuel Richardson
Laura Wilson,2,Emma,Jane Austen
Laura Wilson,3,Madame Bovary,Gustave Flaubert
Laura Wilson,4,Nineteen Eighty-Four,George Orwell
Laura Wilson,5,Alice in Wonderland,Lewis Carroll
Laura Wilson,6,Charlotte's Web,E. B. White
Laura Wilson,7,Great Expectations,Charles Dickens
Laura Wilson,8,All Quiet on the Western Front,Erich Maria Remarque
Laura Wilson,9,The Grapes of Wrath,John Steinbeck
Laura Wilson,10,The Remains of the Day,Kazuo Ishiguro
Claire Messud,1,Anna Karenina,Leo Tolstoy
Claire Messud,2,Madame Bovary,Gustave Flaubert
Claire Messud,3,In Search of Lost Time,Marcel Proust
Claire Messud,4,Things Fall Apart,Chinua Achebe
Claire Messud,5,Beloved,Toni Morrison
Claire Messud,6,Mrs Dalloway,Virginia Woolf
Claire Messud,7,The Rings of Saturn,WG Sebald
Claire Messud,8,The Blue Flower,Penelope Fitzgerald
Claire Messud,9,Underworld,Don DeLillo
Claire Messud,10,A Fine Balance,Rohinton Mistry
Colm Tóibín,1,Ulysses,James Joyce
Colm Tóibín,2,The Golden Bowl,Henry James
Colm Tóibín,3,In Search of Lost Time,Marcel Proust
Colm Tóibín,4,The Trial,Franz Kafka
Colm Tóibín,5,Buddenbrooks,Thomas Mann
Colm Tóibín,6,The Outsider,Albert Camus
Colm Tóibín,7,To the Lighthouse,Virginia Woolf
Colm Tóibín,8,One Hundred Years of Solitude,Gabriel García Márquez
Colm Tóibín,9,The Sun Also Rises,Ernest Hemingway
Colm Tóibín,10,The Age of Innocence,Edith Wharton
Uzma Aslam Khan,1,Memory of Fire,Eduardo Galeano
Uzma Aslam Khan,2,The God of Small Things,Arundhati Roy
Uzma Aslam Khan,3,The Known World,Edward P Jones
Uzma Aslam Khan,4,The Moor's Account,Laila Lalami
Uzma Aslam Khan,5,The English Patient,Michael Ondaatje
Uzma Aslam Khan,6,Slave Old Man,Patrick Chamoiseau
Uzma Aslam Khan,7,Ceremony,Leslie Silko
Uzma Aslam Khan,8,Beloved,Toni Morrison
Uzma Aslam Khan,9,Minor Detail,Adania Shibli
Uzma Aslam Khan,10,A Room of One's Own,Virginia Woolf
Parinoush Saniee,1,Savushun,Simin Daneshvar
Parinoush Saniee,2,Animal Farm,George Orwell
Parinoush Saniee,3,Nineteen Eighty-Four,George Orwell
Parinoush Saniee,4,One Hundred Years of Solitude,Gabriel García Márquez
Parinoush Saniee,5,The Alchemist,Paulo Coelho
Parinoush Saniee,6,Pride and Prejudice,Jane Austen
Parinoush Saniee,7,The Trial,Franz Kafka
Parinoush Saniee,8,The Master and Margarita,Mikhail Bulgakov
Parinoush Saniee,9,Siddhartha,Hermann Hesse
Parinoush Saniee,10,The Blind Owl,Sadegh Hedayat
Ali Smith,1,Beloved,Toni Morrison
Ali Smith,2,Loitering With Intent,Muriel Spark
Ali Smith,3,The Prime of Miss Jean Brodie,Muriel Spark
Ali Smith,4,Invitation to a Beheading,Vladimir Nabokov
Ali Smith,5,After Midnight,Irmgard Keun
Ali Smith,6,Lanark,Alasdair Gray
Ali Smith,7,David Copperfield,Charles Dickens
Ali Smith,8,Michael Kohlhaas,Heinrich von Kleist
Ali Smith,9,Emma,Jane Austen
Ali Smith,10,The Summer Book,Tove Jansson
Catherine Taylor,1,A Model Childhood,Christa Wolf
Catherine Taylor,2,The Makioka Sisters,Jun'ichirō Tanizaki
Catherine Taylor,3,The Golden Bowl,Henry James
Catherine Taylor,4,Nineteen Eighty-Four,George Orwell
Catherine Taylor,5,To the Lighthouse,Virginia Woolf
Catherine Taylor,6,Nervous Conditions,Tsitsi Dangarembga
Catherine Taylor,7,All Our Yesterdays,Natalia Ginzburg
Catherine Taylor,8,The Rainbow,DH Lawrence
Catherine Taylor,9,The Secret Agent,Joseph Conrad
Catherine Taylor,10,Villette,Charlotte Brontë
Chigozie Obioma,1,Blood Meridian,Cormac McCarthy
Chigozie Obioma,2,Hunger,Knut Hamsun
Chigozie Obioma,3,Arrow of God,Chinua Achebe
Chigozie Obioma,4,"Cry, the Beloved Country",Alan Paton
Chigozie Obioma,5,The Waves,Virginia Woolf
Chigozie Obioma,6,War and Peace,Leo Tolstoy
Chigozie Obioma,7,Season of Migration to the North,Tayeb Salih
Chigozie Obioma,8,The Pilgrim's Progress,John Bunyan
Chigozie Obioma,9,All Quiet on the Western Front,Erich Maria Remarque
Chigozie Obioma,10,Thirst for Love,Yukio Mishima
Ben Markovits,1,The Scarlet Letter,Nathaniel Hawthorne
Ben Markovits,2,Mansfield Park,Jane Austen
Ben Markovits,3,Pnin,Vladimir Nabokov
Ben Markovits,4,Cranford,Elizabeth Gaskell
Ben Markovits,5,Things Fall Apart,Chinua Achebe
Ben Markovits,6,The Portrait of a Lady,Henry James
Ben Markovits,7,Middlemarch,George Eliot
Ben Markovits,8,Rabbit Is Rich,John Updike
Ben Markovits,9,To the Lighthouse,Virginia Woolf
Ben Markovits,10,Seize the Day,Saul Bellow
Sophie Mackintosh,1,Light Years,James Salter
Sophie Mackintosh,2,Beloved,Toni Morrison
Sophie Mackintosh,3,Jane Eyre,Charlotte Brontë
Sophie Mackintosh,4,The Piano Teacher,Elfriede Jelinek
Sophie Mackintosh,5,Heart so White,Javier Marías
Sophie Mackintosh,6,Giovanni's Room,James Baldwin
Sophie Mackintosh,7,The Magic Toyshop,Angela Carter
Sophie Mackintosh,8,The End of the Affair,Graham Greene
Sophie Mackintosh,9,The Vegetarian,Han Kang
Sophie Mackintosh,10,Morvern Callar,Alan Warner
Alex Needham,1,Life and Fate,Vasily Grossman
Alex Needham,2,Pale Fire,Vladimir Nabokov
Alex Needham,3,Hurricane Season,Fernanda Melchor
Alex Needham,4,The Line of Beauty,Alan Hollinghurst
Alex Needham,5,Middlemarch,George Eliot
Alex Needham,6,Mansfield Park,Jane Austen
Alex Needham,7,A Rabbit Omnibus,John Updike
Alex Needham,8,Austerlitz,WG Sebald
Alex Needham,9,The Golden Notebook,Doris Lessing
Alex Needham,10,Senseless,Paul Golding
Tessa Hadley,1,War and Peace,Leo Tolstoy
Tessa Hadley,2,Middlemarch,George Eliot
Tessa Hadley,3,Jane Eyre,Charlotte Brontë
Tessa Hadley,4,Madame Bovary,Gustave Flaubert
Tessa Hadley,5,Persuasion,Jane Austen
Tessa Hadley,6,A Guest of Honour,Nadine Gordimer
Tessa Hadley,7,Parade's End,Ford Madox Ford
Tessa Hadley,8,The Rainbow,DH Lawrence
Tessa Hadley,9,The Ambassadors,Henry James
Tessa Hadley,10,The Death of the Heart,Elizabeth Bowen
Jennifer Egan,1,Middlemarch,George Eliot
Jennifer Egan,2,Pride and Prejudice,Jane Austen
Jennifer Egan,3,"Clarissa, Or, the History of a Young Lady",Samuel Richardson
Jennifer Egan,4,Invisible Man,Ralph Ellison
Jennifer Egan,5,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Jennifer Egan,6,To the Lighthouse,Virginia Woolf
Jennifer Egan,7,The Bluest Eye,Toni Morrison
Jennifer Egan,8,Underworld,Don DeLillo
Jennifer Egan,9,Barchester Towers,Anthony Trollope
Jennifer Egan,10,The House of Mirth,Edith Wharton
Xan Brooks,1,Cannery Row,John Steinbeck
Xan Brooks,2,The Great Gatsby,F Scott Fitzgerald
Xan Brooks,3,Pale Fire,Vladimir Nabokov
Xan Brooks,4,Middlemarch,George Eliot
Xan Brooks,5,My Ántonia,Willa Cather
Xan Brooks,6,Bleak House,Charles Dickens
Xan Brooks,7,Invisible Man,Ralph Ellison
Xan Brooks,8,A New Life,Bernard Malamud
Xan Brooks,9,Blood Meridian,Cormac McCarthy
Xan Brooks,10,A Wizard of Earthsea,Ursula K. Le Guin
Nina Stibbe,1,"Ducks, Newburyport",Lucy Ellmann
Nina Stibbe,2,The Country Girls,Edna O'Brien
Nina Stibbe,3,The God of Small Things,Arundhati Roy
Nina Stibbe,4,Cannery Row,John Steinbeck
Nina Stibbe,5,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Nina Stibbe,6,Go Tell It on the Mountain,James Baldwin
Nina Stibbe,7,Money,Martin Amis
Nina Stibbe,8,"The Fortnight in September,",R. C. Sherriff
Nina Stibbe,9,The Code of the Woosters,P. G. Wodehouse
Nina Stibbe,10,David Copperfield,Charles Dickens
Samantha Harvey,1,Mrs Dalloway,Virginia Woolf
Samantha Harvey,2,The Siege of Krishnapur,J. G. Farrell
Samantha Harvey,3,Silas Marner,George Eliot
Samantha Harvey,4,Tess of the D'urbervilles,Thomas Hardy
Samantha Harvey,5,Home,Marilynne Robinson
Samantha Harvey,6,All the Names,José Saramago
Samantha Harvey,7,The Power and the Glory,Graham Greene
Samantha Harvey,8,The Hunchback of Notre-Dame,Victor Hugo
Samantha Harvey,9,Disgrace,JM Coetzee
Samantha Harvey,10,Restoration,Rose Tremain
Charlotte Higgins,1,Middlemarch,George Eliot
Charlotte Higgins,2,Ulysses,James Joyce
Charlotte Higgins,3,In Search of Lost Time,Marcel Proust
Charlotte Higgins,4,Bleak House,Charles Dickens
Charlotte Higgins,5,Emma,Jane Austen
Charlotte Higgins,6,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Charlotte Higgins,7,Villette,Charlotte Brontë
Charlotte Higgins,8,Vanity Fair,William Makepeace Thackeray
Charlotte Higgins,9,The Portrait of a Lady,Henry James
Charlotte Higgins,10,The 39 Steps,John Buchan
Justine Jordan,1,Ulysses,James Joyce
Justine Jordan,2,Middlemarch,George Eliot
Justine Jordan,3,Persuasion,Jane Austen
Justine Jordan,4,Midnight's Children,Salman Rushdie
Justine Jordan,5,Our Mutual Friend,Charles Dickens
Justine Jordan,6,Lolita,Vladimir Nabokov
Justine Jordan,7,Samuel Beckett Trilogy Molloy; Malone Dies; the Unnamable,Samuel Beckett
Justine Jordan,8,Beloved,Toni Morrison
Justine Jordan,9,Wolf Hall,Hilary Mantel
Justine Jordan,10,Catch-22,Joseph Heller
Kieran Goddard,1,Women in Love,D. H. Lawrence
Kieran Goddard,2,The Brothers Karamazov,Fyodor Dostoyevsky
Kieran Goddard,3,Ulysses,James Joyce
Kieran Goddard,4,To the Lighthouse,Virginia Woolf
Kieran Goddard,5,Middlemarch,George Eliot
Kieran Goddard,6,Jude the Obscure,Thomas Hardy
Kieran Goddard,7,Herzog,Saul Bellow
Kieran Goddard,8,Austerlitz,WG Sebald
Kieran Goddard,9,Housekeeping,Marilynne Robinson
Kieran Goddard,10,Disgrace,JM Coetzee
Alex Clark,1,Middlemarch,George Eliot
Alex Clark,2,In Search of Lost Time,Marcel Proust
Alex Clark,3,Ulysses,James Joyce
Alex Clark,4,If on a Winter's Night a Traveller,Italo Calvino
Alex Clark,5,The Golden Notebook,Doris Lessing
Alex Clark,6,Invisible Man,Ralph Ellison
Alex Clark,7,A Bend in the River,V. S. Naipaul
Alex Clark,8,Gilead,Marilynne Robinson
Alex Clark,9,To the Lighthouse,Virginia Woolf
Alex Clark,10,Still Life,A. S. Byatt
Susanna Rustin,1,Mrs Dalloway,Virginia Woolf
Susanna Rustin,2,Emma,Jane Austen
Susanna Rustin,3,The Portrait of a Lady,Henry James
Susanna Rustin,4,Things Fall Apart,Chinua Achebe
Susanna Rustin,5,The Girls of Slender Means,Muriel Spark
Susanna Rustin,6,Klara and the Sun,Kazuo Ishiguro
Susanna Rustin,7,Beloved,Toni Morrison
Susanna Rustin,8,Jane Eyre,Charlotte Brontë
Susanna Rustin,9,Bleak House,Charles Dickens
Susanna Rustin,10,My Brilliant Friend,Elena Ferrante
Sara Collins,1,Beloved,Toni Morrison
Sara Collins,2,The Handmaid's Tale,Margaret Atwood
Sara Collins,3,Pride and Prejudice,Jane Austen
Sara Collins,4,Wide Sargasso Sea,Jean Rhys
Sara Collins,5,Nineteen Eighty-Four,George Orwell
Sara Collins,6,Midnight's Children,Salman Rushdie
Sara Collins,7,The Remains of the Day,Kazuo Ishiguro
Sara Collins,8,Anna Karenina,Leo Tolstoy
Sara Collins,9,The Poisonwood Bible,Barbara Kingsolver
Sara Collins,10,Invisible Man,Ralph Ellison
Houman Barekat,1,Madame Bovary,Gustave Flaubert
Houman Barekat,2,Ulysses,James Joyce
Houman Barekat,3,Middlemarch,George Eliot
Houman Barekat,4,Nostromo,Joseph Conrad
Houman Barekat,5,A Handful of Dust,Evelyn Waugh
Houman Barekat,6,Pale Fire,Vladimir Nabokov
Houman Barekat,7,Mrs Dalloway,Virginia Woolf
Houman Barekat,8,Humboldt's Gift,Saul Bellow
Houman Barekat,9,The Loser,Thomas Bernhard
Houman Barekat,10,The Black Prince,Iris Murdoch
Mark Haddon,1,Jacob's Room,Virginia Woolf
Mark Haddon,2,Bleak House,Charles Dickens
Mark Haddon,3,Tongues I,Anders Nilsen
Mark Haddon,4,The Safekeep,Yael van der Wouden
Mark Haddon,5,The Employees,Olga Ravn
Mark Haddon,6,Septology,Jon Fosse
Mark Haddon,7,Restoration,Rose Tremain
Mark Haddon,8,Here,Richard McGuire
Mark Haddon,9,Matrix,Lauren Groff
Mark Haddon,10,The Maniac,Benjamín Labatut
Stephen King,1,Moby-Dick,Herman Melville
Stephen King,2,Ulysses,James Joyce
Stephen King,3,Light in August,William Faulkner
Stephen King,4,The Heart Is a Lonely Hunter,Carson McCullers
Stephen King,5,The Satanic Verses,Salman Rushdie
Stephen King,6,Wise Blood,Flannery O'Connor
Stephen King,7,Huckleberry Finn,Mark Twain
Stephen King,8,Madame Bovary,Gustave Flaubert
Stephen King,9,Nana,Émile Zola
Stephen King,10,McTeague,Frank Norris
Ian McEwan,1,Ulysses,James Joyce
Ian McEwan,2,Anna Karenina,Leo Tolstoy
Ian McEwan,3,Middlemarch,George Eliot
Ian McEwan,4,The Plague,Albert Camus
Ian McEwan,5,The Metamorphosis,Franz Kafka
Ian McEwan,6,Pride and Prejudice,Jane Austen
Ian McEwan,7,Madame Bovary,Gustave Flaubert
Ian McEwan,8,The Magic Mountain,Thomas Mann
Ian McEwan,9,Our Mutual Friend,Charles Dickens
Ian McEwan,10,Rabbit at Rest,John Updike
Stuart Kelly,1,Middlemarch,George Eliot
Stuart Kelly,2,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Stuart Kelly,3,Moby-Dick,Herman Melville
Stuart Kelly,4,Ulysses,James Joyce
Stuart Kelly,5,House of Leaves,Mark Z. Danielewski
Stuart Kelly,6,A Void,Georges Perec
Stuart Kelly,7,Textermination,Christine Brooke-Rose
Stuart Kelly,8,Loitering With Intent,Muriel Spark
Stuart Kelly,9,Cloud Atlas,David Mitchell
Stuart Kelly,10,The City & the City,China Miéville
Dinah Birch,1,Middlemarch,George Eliot
Dinah Birch,2,Persuasion,Jane Austen
Dinah Birch,3,David Copperfield,Charles Dickens
Dinah Birch,4,Jane Eyre,Charlotte Brontë
Dinah Birch,5,Barchester Towers,Anthony Trollope
Dinah Birch,6,Huckleberry Finn,Mark Twain
Dinah Birch,7,Anna Karenina,Leo Tolstoy
Dinah Birch,8,Song of Solomon,Toni Morrison
Dinah Birch,9,Midnight's Children,Salman Rushdie
Dinah Birch,10,Northern Lights,Philip Pullman
Alain Mabanckou,1,Things Fall Apart,Chinua Achebe
Alain Mabanckou,2,Palm-Wine Drinkard,Amos Tutuola
Alain Mabanckou,3,Too Loud a Solitude,Bohumil Hrabal
Alain Mabanckou,4,Pedro Páramo,Juan Rulfo
Alain Mabanckou,5,The Trial,Franz Kafka
Alain Mabanckou,6,The Name of the Rose,Umberto Eco
Alain Mabanckou,7,The Tartar Steppe,Dino Buzzati
Alain Mabanckou,8,If This Is a Man / the Truce,Primo Levi
Alain Mabanckou,9,On the Road,Jack Kerouac
Alain Mabanckou,10,The Catcher in the Rye,J. D. Salinger
Tahmima Anam,1,Midnight's Children,Salman Rushdie
Tahmima Anam,2,Beloved,Toni Morrison
Tahmima Anam,3,Anna Karenina,Leo Tolstoy
Tahmima Anam,4,Things Fall Apart,Chinua Achebe
Tahmima Anam,5,Persuasion,Jane Austen
Tahmima Anam,6,The Great Gatsby,F Scott Fitzgerald
Tahmima Anam,7,Jane Eyre,Charlotte Brontë
Tahmima Anam,8,Sultana's Dream,Rokeya Sakhawat Hossain
Tahmima Anam,9,The Vegetarian,Han Kang
Tahmima Anam,10,My Ántonia,Willa Cather
David Nicholls,1,Persuasion,Jane Austen
David Nicholls,2,Bleak House,Charles Dickens
David Nicholls,3,The Great Gatsby,F Scott Fitzgerald
David Nicholls,4,The Portrait of a Lady,Henry James
David Nicholls,5,Housekeeping,Marilynne Robinson
David Nicholls,6,To the Lighthouse,Virginia Woolf
David Nicholls,7,Howards End,EM Forster
David Nicholls,8,Sula,Toni Morrison
David Nicholls,9,The Prime of Miss Jean Brodie,Muriel Spark
David Nicholls,10,The Transit of Venus,Shirley Hazzard
Marcel Theroux,1,War and Peace,Leo Tolstoy
Marcel Theroux,2,Middlemarch,George Eliot
Marcel Theroux,3,Madame Bovary,Gustave Flaubert
Marcel Theroux,4,Pride and Prejudice,Jane Austen
Marcel Theroux,5,David Copperfield,Charles Dickens
Marcel Theroux,6,Nineteen Eighty-Four,George Orwell
Marcel Theroux,7,Gulliver's Travels,Jonathan Swift
Marcel Theroux,8,The Great Gatsby,F Scott Fitzgerald
Marcel Theroux,9,The Master and Margarita,Mikhail Bulgakov
Marcel Theroux,10,Kim,Rudyard Kipling
Natalie Haynes,1,The Memory Police,Yoko Ogawa
Natalie Haynes,2,Mussel Feast,Birgit Vanderbeke
Natalie Haynes,3,A Visit From the Goon Squad,Jennifer Egan
Natalie Haynes,4,Overstory,Richard Powers
Natalie Haynes,5,The Dark Is Rising,Susan Cooper
Natalie Haynes,6,The Luminaries,Eleanor Catton
Natalie Haynes,7,The Green Road,Anne Enright
Natalie Haynes,8,How to Be Both,Ali Smith
Natalie Haynes,9,The Noise of Time,Julian Barnes
Natalie Haynes,10,Tale for the Time Being,Ruth Ozeki
Diana Evans,1,Anna Karenina,Leo Tolstoy
Diana Evans,2,The House of the Spirits,Isabel Allende
Diana Evans,3,The God of Small Things,Arundhati Roy
Diana Evans,4,Things Fall Apart,Chinua Achebe
Diana Evans,5,Song of Solomon,Toni Morrison
Diana Evans,6,Middlesex,Jeffrey Eugenides
Diana Evans,7,Lolita,Vladimir Nabokov
Diana Evans,8,The Emperor's Babe,Bernardine Evaristo
Diana Evans,9,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Diana Evans,10,Another Country,James Baldwin
Maaza Mengiste,1,Song of Solomon,Toni Morrison
Maaza Mengiste,2,The Book of Daniel,E. L. Doctorow
Maaza Mengiste,3,Afterlives,Abdulrazak Gurnah
Maaza Mengiste,4,Nervous Conditions,Tsitsi Dangarembga
Maaza Mengiste,5,Wolf Hall,Hilary Mantel
Maaza Mengiste,6,Visitation,Jenny Erpenbeck
Maaza Mengiste,7,The Known World,Edward P Jones
Maaza Mengiste,8,Human Acts,Han Kang
Maaza Mengiste,9,War and Peace,Leo Tolstoy
Maaza Mengiste,10,Go Tell It on the Mountain,James Baldwin
Sarah Crown,1,Middlemarch,George Eliot
Sarah Crown,2,To Kill a Mockingbird,Harper Lee
Sarah Crown,3,The Book of Daniel,E. L. Doctorow
Sarah Crown,4,Possession,A. S. Byatt
Sarah Crown,5,Grey King,Susan Cooper
Sarah Crown,6,American Pastoral,Philip Roth
Sarah Crown,7,Pale Fire,Vladimir Nabokov
Sarah Crown,8,Under Milk Wood,Dylan Thomas
Sarah Crown,9,East of Eden,John Steinbeck
Sarah Crown,10,Danny the Champion of the World,Roald Dahl
Alexandra Harris,1,To the Lighthouse,Virginia Woolf
Alexandra Harris,2,The Waves,Virginia Woolf
Alexandra Harris,3,The Return of the Native,Thomas Hardy
Alexandra Harris,4,Jacob's Room,Virginia Woolf
Alexandra Harris,5,My Ántonia,Willa Cather
Alexandra Harris,6,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Alexandra Harris,7,Ulysses,James Joyce
Alexandra Harris,8,The Good Soldier,Ford Madox Ford
Alexandra Harris,9,The Mirror and the Light,Hilary Mantel
Alexandra Harris,10,How to Be Both,Ali Smith
Lisa Allardice,1,Middlemarch,George Eliot
Lisa Allardice,2,To the Lighthouse,Virginia Woolf
Lisa Allardice,3,The Pursuit of Love,Nancy Mitford
Lisa Allardice,4,The Handmaid's Tale,Margaret Atwood
Lisa Allardice,5,The Prime of Miss Jean Brodie,Muriel Spark
Lisa Allardice,6,Rebecca,Daphne du Maurier
Lisa Allardice,7,Beloved,Toni Morrison
Lisa Allardice,8,The Portrait of a Lady,Henry James
Lisa Allardice,9,Mrs Dalloway,Virginia Woolf
Lisa Allardice,10,Persuasion,Jane Austen
Clare Clark,1,Madame Bovary,Gustave Flaubert
Clare Clark,2,Middlemarch,George Eliot
Clare Clark,3,The Great Gatsby,F Scott Fitzgerald
Clare Clark,4,Anna Karenina,Leo Tolstoy
Clare Clark,5,Emma,Jane Austen
Clare Clark,6,Mrs Dalloway,Virginia Woolf
Clare Clark,7,The Go-Between,LP Hartley
Clare Clark,8,A Fine Balance,Rohinton Mistry
Clare Clark,9,The Remains of the Day,Kazuo Ishiguro
Clare Clark,10,Wolf Hall,Hilary Mantel
Ben Okri,1,Don Quixote,Miguel de Cervantes
Ben Okri,2,War and Peace,Leo Tolstoy
Ben Okri,3,The Brothers Karamazov,Fyodor Dostoyevsky
Ben Okri,4,Pride and Prejudice,Jane Austen
Ben Okri,5,Moby-Dick,Herman Melville
Ben Okri,6,Ulysses,James Joyce
Ben Okri,7,In Search of Lost Time,Marcel Proust
Ben Okri,8,Invisible Man,Ralph Ellison
Ben Okri,9,One Hundred Years of Solitude,Gabriel García Márquez
Ben Okri,10,La Princesse De Cleves,Madame de La Fayette
Dorian Lynskey,1,U.s.a.,John Dos Passos
Dorian Lynskey,2,Libra,Don DeLillo
Dorian Lynskey,3,The Remains of the Day,Kazuo Ishiguro
Dorian Lynskey,4,Heart of Darkness,Joseph Conrad
Dorian Lynskey,5,Ragtime,EL Doctorow
Dorian Lynskey,6,American Pastoral,Philip Roth
Dorian Lynskey,7,Nineteen Eighty-Four,George Orwell
Dorian Lynskey,8,Station Eleven,Emily St. John Mandel
Dorian Lynskey,9,The Line of Beauty,Alan Hollinghurst
Dorian Lynskey,10,The Age of Innocence,Edith Wharton
Arifa Akbar,1,Wuthering Heights,Emily Brontë
Arifa Akbar,2,Anna Karenina,Leo Tolstoy
Arifa Akbar,3,Frankenstein,Mary Shelley
Arifa Akbar,4,Death in Venice,Thomas Mann
Arifa Akbar,5,Beloved,Toni Morrison
Arifa Akbar,6,The Piano Teacher,Elfriede Jelinek
Arifa Akbar,7,Nineteen Eighty-Four,George Orwell
Arifa Akbar,8,Wise Children,Angela Carter
Arifa Akbar,9,American Pastoral,Philip Roth
Arifa Akbar,10,The Handmaid's Tale,Margaret Atwood
Aida Edemariam,1,Middlemarch,George Eliot
Aida Edemariam,2,The Great Gatsby,F Scott Fitzgerald
Aida Edemariam,3,The Go-Between,LP Hartley
Aida Edemariam,4,Emma,Jane Austen
Aida Edemariam,5,Beloved,Toni Morrison
Aida Edemariam,6,Mrs Dalloway,Virginia Woolf
Aida Edemariam,7,If Beale Street Could Talk,James Baldwin
Aida Edemariam,8,Lives of Girls and Women,Alice Munro
Aida Edemariam,9,The Vagabond,Colette
Aida Edemariam,10,A House for Mr Biswas,VS Naipaul
James Meek,1,Disgrace,JM Coetzee
James Meek,2,Middlemarch,George Eliot
James Meek,3,The Busconductor Hines,James Kelman
James Meek,4,Barchester Towers,Anthony Trollope
James Meek,5,Invisible Cities,Italo Calvino
James Meek,6,Ulysses,James Joyce
James Meek,7,Outline,Rachel Cusk
James Meek,8,The Magic Mountain,Thomas Mann
James Meek,9,Mansfield Park,Jane Austen
James Meek,10,The Death of the Heart,Elizabeth Bowen
