title,author,score
Bee Sting,Paul Murray,25
Charlotte's Web,E. B. White,25
Cloudstreet,Tim Winton,25
Confessions of Zeno,Italo Svevo,25
Elective Affinities,Johann Wolfgang von Goethe,25
Falling Man,Don DeLillo,25
Family and Friends,Anita Brookner,25
I Capture the Castle,Dodie Smith,25
I Served the King of England,Bohumil Hrabal,25
Klara and the Sun,Kazuo Ishiguro,25
Little Boy Lost,Marghanita Laski,25
Love Me Tender,Constance Debré,25
Maps,Nuruddin Farah,25
Middlesex,Jeffrey Eugenides,25
No Longer Human,Osamu Dazai,25
Quicksand,Nella Larsen,25
Samskara,U. R. Anantha Murthy,25
Scoop,Evelyn Waugh,25
Slave Old Man,Patrick Chamoiseau,25
The Collector,John Fowles,25
The Goldfinch,Donna Tartt,25
The Lonely Londoners,Samuel Selvon,25
The Luminaries,Eleanor Catton,25
The Patrick Melrose Novels,Edward St Aubyn,25
The Phantom Tollbooth,Norton Juster,25
The Road to the City,Natalia Ginzburg,25
The Way We Live Now,Anthony Trollope,25
Things We Lost in the Fire,Mariana Enriquez,25
"To Be Taught, If Fortunate",Becky Chambers,25
Transit,Rachel Cusk,25
Visitation,Jenny Erpenbeck,25
Watchmen,Alan Moore,25
Who Was Changed and Who Was Dead,Barbara Comyns,25
Wise Blood,Flannery O'Connor,25
Wittgenstein's Mistress,David Markson,25
Women Talking,Miriam Toews,25
A Compass Error,Sybille Bedford,24
A Girl Is a Half-Formed Thing,Eimear McBride,24
A Mind at Peace,Ahmet Hamdi Tanpınar,24
A Rabbit Omnibus,John Updike,24
American Psycho,Bret Easton Ellis,24
American Tabloid,James Ellroy,24
Big Swiss,Jen Beagin,24
Blindness,José Saramago,24
Brideshead Revisited,Evelyn Waugh,24
By the Sea,Abdulrazak Gurnah,24
Cartucho,Nellie Campobello,24
Cat's Cradle,Kurt Vonnegut,24
Caught,Henry Green,24
Ceremony,Leslie Silko,24
Demons,Fyodor Dostoevsky,24
Gormenghast,Mervyn Peake,24
Hamnet,Maggie O'Farrell,24
If Beale Street Could Talk,James Baldwin,24
In Cold Blood,Truman Capote,24
In the Time of the Butterflies,Julia Alvarez,24
June Rain,Jabbour Douaihy,24
Lincoln in the Bardo,George Saunders,24
Mill on the Floss,George Eliot,24
Miss Marjoribanks,Margaret Oliphant,24
Mrs. Palfrey at the Claremont,Elizabeth Taylor,24
One Thousand and One Nights,Anonymous,24
Pig Earth,John Berger,24
Possessing the Secret of Joy,Alice Walker,24
Reading Turgenev,William Trevor,24
Samuel Beckett Trilogy Molloy; Malone Dies; the Unnamable,Samuel Beckett,24
Season of Migration to the North,Tayeb Salih,24
"So Long, See You Tomorrow",William Maxwell,24
Sport and a Pastime,James Salter,24
Tender Is the Night,F. Scott Fitzgerald,24
Textermination,Christine Brooke-Rose,24
The Bonfire of the Vanities,Tom Wolfe,24
The Decameron of Boccaccio,Giovanni Boccaccio,24
The Fall of the House of Usher,Edgar Allan Poe,24
The Green Road,Anne Enright,24
The Heart of Midlothian,Walter Scott,24
The Idiot,Fyodor Dostoevsky,24
The Magic Toyshop,Angela Carter,24
The Passion According to G.h.,Clarice Lispector,24
The Story of Lucy Gault,William Trevor,24
The Street,Ann Petry,24
The Unbearable Lightness of Being,Milan Kundera,24
The Unicorn,Iris Murdoch,24
The Vanishing Half,Brit Bennett,24
The Waiting Years,Fumiko Enchi,24
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,24
Trainspotting,Irvine Welsh,24
Vile Bodies,Evelyn Waugh,24
A New Life,Bernard Malamud,23
And Then There Were None,Agatha Christie,23
Angel,Elizabeth Taylor,23
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,23
Chronicle of a Death Foretold,Gabriel García Márquez,23
Dr Gully,Elizabeth Jenkins,23
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,23
Europe After the Rain,Alan Burns,23
Felicia's Journey,William Trevor,23
Golden Age,Wang Xiaobo,23
Gone Girl,Gillian Flynn,23
Here,Richard McGuire,23
Home to Harlem,Claude McKay,23
Humboldt's Gift,Saul Bellow,23
Ice,Anna Kavan,23
If This Is a Man / the Truce,Primo Levi,23
Independant People,Halldór Laxness,23
Jonathan Strange & Mr. Norrell,Susanna Clarke,23
Journey by Moonlight,Antal Szerb,23
Love Medicine,Louise Erdrich,23
Lucky Jim,Kingsley Amis,23
Mammoth,Eva Baltasar,23
Memento Mori,Muriel Spark,23
Michael Kohlhaas,Heinrich von Kleist,23
Milkman,Anna Burns,23
Normal People,Sally Rooney,23
Notre Dame De Paris,Victor Hugo,23
Noughts & Crosses,Malorie Blackman,23
Oblomov,Ivan Aleksandrovich Goncharov,23
On the Edge of Reason,Miroslav Krleža,23
Ordinary People,Diana Evans,23
Point Counter Point,Aldous Huxley,23
Problems,Jade Sharma,23
Rabbit Is Rich,John Updike,23
Sultana's Dream,Rokeya Sakhawat Hossain,23
Tarka the Otter,Henry Williamson,23
The Affirmation,Christopher Priest,23
The Amazing Mr Blunden,Antonia Barber,23
The Autobiography of Alice B. Toklas,Gertrude Stein,23
The Baron in the Trees,Italo Calvino,23
The Betrothed,Alessandro Manzoni,23
The Bloater,Rosemary Tonks,23
The Castle,Franz Kafka,23
The Emperor's Babe,Bernardine Evaristo,23
The Famished Road,Ben Okri,23
"The Fortnight in September,",R. C. Sherriff,23
The Grass Is Singing,Doris Lessing,23
The Hunchback of Notre-Dame,Victor Hugo,23
The Ice Palace,Tarjei Vesaas,23
The Lover,Marguerite Duras,23
The Man Who Planted Trees,Jean Giono,23
